iter	Passed	Remaining
760	1814	569
761	1816	567
762	1818	564
763	1821	562
764	1823	560
765	1825	557
766	1827	555
767	1830	552
768	1832	550
769	1834	547
770	1836	545
771	1838	543
772	1841	540
773	1843	538
774	1846	535
775	1848	533
776	1850	531
777	1852	528
778	1854	526
779	1856	523
780	1859	521
781	1861	518
782	1863	516
783	1865	514
784	1867	511
785	1869	509
786	1872	506
787	1874	504
788	1876	501
789	1878	499
790	1881	497
791	1883	494
792	1885	492
793	1887	489
794	1889	487
795	1891	484
796	1893	482
797	1896	479
798	1898	477
799	1900	475
800	1902	472
801	1905	470
802	1907	467
803	1909	465
804	1911	463
805	1914	460
806	1916	458
807	1918	455
808	1920	453
809	1924	451
810	1926	448
811	1928	446
812	1931	444
813	1933	441
814	1936	439
815	1938	437
816	1940	434
817	1942	432
818	1944	429
819	1947	427
820	1949	425
821	1951	422
822	1953	420
823	1956	417
824	1958	415
825	1960	413
826	1962	410
827	1964	408
828	1968	406
829	1970	403
830	1972	401
831	1976	399
832	1978	396
833	1981	394
834	1984	392
835	1986	389
836	1988	387
837	1991	384
838	1993	382
839	1995	380
840	1997	377
841	2000	375
842	2002	372
843	2004	370
844	2007	368
845	2009	365
846	2011	363
847	2014	361
848	2016	358
849	2018	356
850	2020	353
851	2023	351
852	2025	349
853	2027	346
854	2029	344
855	2032	341
856	2034	339
857	2036	337
858	2038	334
859	2041	332
860	2043	329
861	2045	327
862	2047	325
863	2050	322
864	2052	320
865	2054	317
866	2056	315
867	2059	313
868	2061	310
869	2063	308
870	2065	305
871	2068	303
872	2070	301
873	2072	298
874	2075	296
875	2077	294
876	2079	291
877	2081	289
878	2083	286
879	2086	284
880	2088	282
881	2090	279
882	2093	277
883	2096	275
884	2098	272
885	2100	270
886	2102	267
887	2104	265
888	2107	263
889	2109	260
890	2111	258
891	2114	255
892	2117	253
893	2119	251
894	2122	249
895	2124	246
896	2126	244
897	2129	241
898	2131	239
899	2133	237
900	2135	234
901	2139	232
902	2142	230
903	2144	227
904	2147	225
905	2149	223
906	2151	220
907	2154	218
908	2156	215
909	2160	213
910	2162	211
911	2166	209
912	2169	206
913	2171	204
914	2173	201
915	2176	199
916	2178	197
917	2180	194
918	2182	192
919	2184	189
920	2187	187
921	2189	185
922	2191	182
923	2193	180
924	2196	178
925	2198	175
926	2200	173
927	2202	170
928	2204	168
929	2207	166
930	2209	163
931	2211	161
932	2213	158
933	2215	156
934	2218	154
935	2220	151
